User_ID,Age,Education_Level,Goal,Preferred_Category,Subcategory,Course_Name,Rating
184,22,Masters,Switching Career,Music,Guitar,Guitar for Beginners,3.7
185,36,High School,Job,Engineering,Robotics,Building Arduino Robots,4.2
186,20,PhD,Freelancing,Language Learning,German,German Basics,4.9
187,46,High School,Upskilling,Business,Finance,Personal Finance,3.5
188,46,PhD,Freelancing,Language Learning,French,Basic French A1,3.8
189,39,High School,Upskilling,Business,Entrepreneurship,Startup Success,4.1
190,42,Masters,Upskilling,Engineering,Mechanical,CAD Design,3.2
191,27,Masters,Upskilling,Health & Fitness,Nutrition,Healthy Eating,3.6
192,42,Masters,Freelancing,Photography,DSLR Basics,Photography Composition,4.0
193,19,Masters,Upskilling,Design,Canva,Designing with Canva,4.9
194,49,Bachelors,Freelancing,Design,Canva,Canva for Beginners,3.6
195,24,High School,Upskilling,Engineering,Mechanical,CAD Design,3.3
196,29,Bachelors,Switching Career,Programming,Data Science,Data Analysis with Pandas,4.4
197,33,PhD,Upskilling,Music,Guitar,Guitar for Beginners,3.6
198,48,Bachelors,Upskilling,Engineering,Robotics,Building Arduino Robots,4.5
199,42,PhD,Freelancing,Writing,Content Writing,Blog Writing,4.7
200,21,PhD,Upskilling,Photography,DSLR Basics,Camera Settings 101,3.6
201,28,Masters,Switching Career,Photography,DSLR Basics,Photography Composition,3.2
202,32,PhD,Upskilling,Programming,Data Science,Python for Data Science,3.8
203,41,Bachelors,Switching Career,Business,Entrepreneurship,Startup Success,3.1
204,24,Masters,Freelancing,Design,Figma,Figma for Teams,4.8
205,48,Bachelors,Switching Career,Music,Music Theory,Music Theory Basics,4.8
206,19,Masters,Freelancing,Design,Graphic Design,Photoshop Basics,4.6
207,33,Masters,Job,Programming,App Development,React Native Guide,4.3
208,47,High School,Job,Music,Music Theory,Music Theory Basics,4.3
209,33,Bachelors,Upskilling,Health & Fitness,Nutrition,Meal Planning,3.5
210,44,Bachelors,Job,Photography,Photo Editing,Lightroom Editing,4.9
211,19,PhD,Switching Career,Programming,Data Science,Data Analysis with Pandas,3.5
212,19,Masters,Job,Language Learning,Spanish,Beginner Spanish,4.5
213,39,Bachelors,Job,Language Learning,French,French for Travelers,4.7
214,47,PhD,Freelancing,Design,Figma,Figma for Teams,3.1
215,30,High School,Freelancing,Programming,Machine Learning,Intro to TensorFlow,4.0
216,48,Masters,Job,Writing,Copywriting,Ad Copy Techniques,4.7
217,21,Masters,Upskilling,Business,Entrepreneurship,Business Planning,4.8
218,46,PhD,Upskilling,Design,Graphic Design,Illustrator Course,3.7
219,35,High School,Switching Career,Business,Management,Project Management,4.1
220,38,High School,Job,Language Learning,French,Basic French A1,3.9
221,45,Bachelors,Switching Career,Language Learning,German,German Basics,4.5
222,40,PhD,Upskilling,Programming,Web Development,React Full Course,4.3
223,41,Bachelors,Job,Design,Graphic Design,Photoshop Basics,3.3
224,33,Masters,Upskilling,Health & Fitness,Mental Health,Managing Stress,4.2
225,46,Masters,Upskilling,Music,Guitar,Guitar for Beginners,4.1
226,43,Masters,Upskilling,Writing,Creative Writing,Writing Fiction,4.5
227,49,PhD,Job,Personal Development,Leadership,Emotional Intelligence,3.4
228,36,PhD,Freelancing,Business,Finance,Personal Finance,3.9
229,46,High School,Upskilling,Language Learning,English,Spoken English,4.8
230,28,Bachelors,Upskilling,Photography,DSLR Basics,Camera Settings 101,5.0
231,26,Bachelors,Switching Career,Programming,Machine Learning,Scikit-learn Basics,4.1
232,47,Bachelors,Job,Business,Entrepreneurship,Business Planning,5.0
233,48,PhD,Switching Career,Engineering,Electrical,Circuits and Systems,4.9
234,22,PhD,Switching Career,Photography,Photo Editing,Lightroom Editing,4.8
235,29,Bachelors,Switching Career,Photography,DSLR Basics,Camera Settings 101,4.0
236,37,Bachelors,Freelancing,Language Learning,Spanish,Conversational Spanish,4.9
237,36,High School,Upskilling,Writing,Content Writing,SEO Content Writing,3.3
238,37,High School,Freelancing,Engineering,Mechanical,Thermodynamics,4.3
239,39,High School,Job,Business,Marketing,SEO Mastery,4.3
240,44,High School,Switching Career,Photography,Photo Editing,Photoshop for Photographers,4.0
241,43,Masters,Switching Career,Business,Marketing,Digital Marketing 101,3.9
242,48,PhD,Freelancing,Language Learning,Spanish,Conversational Spanish,4.7
243,38,Masters,Switching Career,Design,UI/UX,UX Research,3.6
244,47,High School,Upskilling,Music,Guitar,Guitar for Beginners,3.2
245,36,PhD,Switching Career,Writing,Creative Writing,Short Story Writing,4.9
246,38,Bachelors,Freelancing,Music,Music Theory,Advanced Harmony,4.0
247,37,PhD,Job,Business,Management,Leadership Skills,4.9
248,31,Masters,Job,Programming,Machine Learning,Intro to TensorFlow,4.2
249,48,Masters,Job,Business,Management,Project Management,4.8
250,41,PhD,Upskilling,Programming,Data Science,Python for Data Science,4.1
251,30,Masters,Upskilling,Business,Management,Leadership Skills,4.5
252,35,High School,Freelancing,Business,Management,Leadership Skills,4.6
253,39,Masters,Freelancing,Writing,Content Writing,SEO Content Writing,4.0
254,20,High School,Freelancing,Language Learning,German,Intermediate German,3.3
255,26,Masters,Upskilling,Design,Graphic Design,Illustrator Course,4.2
256,49,Masters,Switching Career,Programming,Machine Learning,Intro to TensorFlow,4.3
257,44,Masters,Job,Engineering,Robotics,Building Arduino Robots,4.9
258,32,High School,Switching Career,Design,Graphic Design,Photoshop Basics,4.6
259,33,High School,Job,Writing,Creative Writing,Short Story Writing,3.6
260,27,PhD,Freelancing,Health & Fitness,Mental Health,Mindfulness Meditation,4.7
261,21,Bachelors,Freelancing,Photography,Photo Editing,Photoshop for Photographers,4.1
262,38,Bachelors,Switching Career,Photography,Photo Editing,Photoshop for Photographers,4.4
263,34,PhD,Freelancing,Writing,Copywriting,Ad Copy Techniques,3.4
264,37,Masters,Freelancing,Music,Piano,Classical Piano,3.7
265,35,Masters,Job,Engineering,Robotics,Building Arduino Robots,4.6
266,27,Masters,Job,Personal Development,Public Speaking,Speaking with Confidence,3.7
267,46,Masters,Switching Career,Writing,Creative Writing,Short Story Writing,4.9
268,35,Bachelors,Job,Engineering,Mechanical,Thermodynamics,3.1
269,32,Bachelors,Job,Business,Management,Leadership Skills,4.4
270,24,Bachelors,Job,Photography,DSLR Basics,Photography Composition,4.3
271,48,PhD,Freelancing,Personal Development,Leadership,Emotional Intelligence,4.3
272,23,Bachelors,Job,Design,Graphic Design,Photoshop Basics,4.9
273,20,PhD,Switching Career,Design,UI/UX,UX Research,3.0
274,24,Masters,Upskilling,Music,Music Theory,Advanced Harmony,4.8
275,26,PhD,Upskilling,Writing,Creative Writing,Short Story Writing,3.3
276,47,Masters,Freelancing,Programming,Machine Learning,Intro to TensorFlow,4.1
277,30,Bachelors,Switching Career,Health & Fitness,Mental Health,Mindfulness Meditation,3.2
278,24,Bachelors,Freelancing,Music,Piano,Piano Lessons 101,3.0
279,42,Bachelors,Switching Career,Personal Development,Leadership,Emotional Intelligence,4.2
280,18,Masters,Upskilling,Writing,Creative Writing,Writing Fiction,3.9
281,28,PhD,Upskilling,Business,Entrepreneurship,Business Planning,4.2
282,32,Bachelors,Switching Career,Design,Graphic Design,Illustrator Course,3.8
283,48,Bachelors,Freelancing,Engineering,Electrical,Power Engineering,4.1
284,41,High School,Job,Programming,Cybersecurity,Ethical Hacking,4.1
285,27,Bachelors,Upskilling,Photography,Photo Editing,Lightroom Editing,4.4
286,49,High School,Switching Career,Programming,Data Science,Python for Data Science,4.0
287,47,High School,Switching Career,Personal Development,Public Speaking,Speaking with Confidence,3.8
288,18,Bachelors,Job,Programming,Data Science,Data Analysis with Pandas,4.4
289,21,High School,Switching Career,Programming,Machine Learning,Intro to TensorFlow,3.4
290,26,PhD,Upskilling,Health & Fitness,Yoga,Advanced Yoga Poses,3.8
291,26,Masters,Job,Design,Graphic Design,Photoshop Basics,4.5
292,32,High School,Job,Personal Development,Leadership,Emotional Intelligence,4.1
293,32,Bachelors,Switching Career,Language Learning,Spanish,Conversational Spanish,3.4
294,25,High School,Switching Career,Engineering,Electrical,Circuits and Systems,3.4
295,24,High School,Switching Career,Engineering,Electrical,Circuits and Systems,4.5
296,43,PhD,Freelancing,Photography,DSLR Basics,Camera Settings 101,3.3
297,36,Bachelors,Upskilling,Engineering,Civil,Structural Engineering,3.6
298,27,Bachelors,Switching Career,Personal Development,Leadership,Leadership in Teams,4.1
299,29,PhD,Switching Career,Programming,Machine Learning,Scikit-learn Basics,4.3
300,38,PhD,Switching Career,Design,UI/UX,UI Design Principles,3.4
301,48,Bachelors,Freelancing,Personal Development,Public Speaking,Speaking with Confidence,4.6
302,21,PhD,Switching Career,Photography,Lighting Techniques,Natural Lighting,3.8
303,34,Bachelors,Upskilling,Business,Management,Leadership Skills,3.2
304,30,High School,Upskilling,Health & Fitness,Mental Health,Managing Stress,4.7
305,30,Bachelors,Switching Career,Writing,Copywriting,Ad Copy Techniques,4.9
306,18,Bachelors,Freelancing,Business,Management,Project Management,4.4
307,31,PhD,Freelancing,Photography,Photo Editing,Photoshop for Photographers,3.8
308,40,Masters,Upskilling,Language Learning,German,Intermediate German,3.2
309,48,Masters,Freelancing,Language Learning,French,Basic French A1,3.1
310,32,Bachelors,Job,Personal Development,Public Speaking,TED Talk Techniques,3.6
311,30,Masters,Freelancing,Health & Fitness,Mental Health,Managing Stress,4.0
312,39,Masters,Switching Career,Music,Piano,Piano Lessons 101,4.5
313,40,Bachelors,Freelancing,Photography,Photo Editing,Lightroom Editing,4.8
314,21,High School,Job,Programming,Web Development,HTML CSS JS Mastery,3.3
315,32,High School,Freelancing,Programming,App Development,Kotlin for Android,3.9
316,21,PhD,Switching Career,Programming,Web Development,React Full Course,4.1
317,18,High School,Upskilling,Photography,Photo Editing,Lightroom Editing,4.0
318,45,Bachelors,Job,Business,Finance,Personal Finance,3.4
319,34,Masters,Upskilling,Health & Fitness,Nutrition,Meal Planning,4.9
320,47,Bachelors,Freelancing,Personal Development,Public Speaking,Speaking with Confidence,4.3
321,20,High School,Switching Career,Health & Fitness,Yoga,Advanced Yoga Poses,3.1
322,18,Bachelors,Job,Music,Piano,Classical Piano,4.1
323,24,High School,Freelancing,Writing,Content Writing,SEO Content Writing,3.5
324,22,Masters,Job,Design,UI/UX,UX Research,4.9
325,27,PhD,Job,Personal Development,Productivity,Time Management,4.1
326,42,Masters,Switching Career,Design,Figma,Figma for Teams,3.1
327,45,Bachelors,Job,Language Learning,German,Intermediate German,3.1
328,35,PhD,Switching Career,Writing,Copywriting,Ad Copy Techniques,3.9
329,42,High School,Upskilling,Writing,Content Writing,Blog Writing,3.2
330,27,PhD,Freelancing,Health & Fitness,Yoga,Advanced Yoga Poses,3.2
331,18,Masters,Switching Career,Language Learning,French,French for Travelers,3.3
332,29,PhD,Switching Career,Photography,Lighting Techniques,Studio Setup,3.2
333,23,Masters,Job,Engineering,Civil,AutoCAD Civil,3.0
334,44,PhD,Job,Photography,DSLR Basics,Camera Settings 101,4.4
335,28,Bachelors,Upskilling,Personal Development,Leadership,Emotional Intelligence,3.3
336,28,PhD,Upskilling,Health & Fitness,Yoga,Advanced Yoga Poses,4.6
337,41,Masters,Freelancing,Music,Music Theory,Music Theory Basics,3.9
338,26,Masters,Job,Health & Fitness,Yoga,Advanced Yoga Poses,4.6
339,39,PhD,Upskilling,Health & Fitness,Mental Health,Managing Stress,3.6
340,30,PhD,Upskilling,Design,Graphic Design,Illustrator Course,3.6
341,49,Bachelors,Upskilling,Health & Fitness,Yoga,Advanced Yoga Poses,3.7
342,30,Bachelors,Job,Music,Music Theory,Music Theory Basics,3.9
343,36,High School,Switching Career,Music,Guitar,Fingerstyle Guitar,3.5
344,27,PhD,Switching Career,Business,Management,Leadership Skills,4.2
345,44,High School,Upskilling,Photography,Lighting Techniques,Natural Lighting,3.2
346,33,Masters,Freelancing,Engineering,Electrical,Power Engineering,4.9
347,39,PhD,Job,Programming,Web Development,HTML CSS JS Mastery,3.4
348,32,PhD,Upskilling,Health & Fitness,Yoga,Beginner Yoga,3.7
349,19,PhD,Job,Personal Development,Leadership,Leadership in Teams,3.2
350,27,Masters,Upskilling,Language Learning,German,German Basics,4.0
351,40,PhD,Job,Music,Music Theory,Advanced Harmony,3.6
352,37,High School,Job,Programming,Machine Learning,Scikit-learn Basics,3.2
353,28,Bachelors,Freelancing,Photography,DSLR Basics,Photography Composition,4.1
354,47,Bachelors,Switching Career,Design,Canva,Designing with Canva,3.8
355,30,PhD,Switching Career,Health & Fitness,Nutrition,Healthy Eating,3.4
356,22,High School,Freelancing,Language Learning,French,French for Travelers,3.9
357,34,PhD,Upskilling,Engineering,Robotics,Building Arduino Robots,4.2
358,40,Masters,Switching Career,Engineering,Mechanical,CAD Design,4.8
359,23,Bachelors,Upskilling,Business,Finance,Investing Basics,3.2
360,41,Bachelors,Switching Career,Health & Fitness,Mental Health,Managing Stress,4.1
361,45,Bachelors,Switching Career,Photography,Lighting Techniques,Natural Lighting,4.1
362,49,Masters,Freelancing,Design,UI/UX,UI Design Principles,4.2
363,40,High School,Switching Career,Design,Canva,Designing with Canva,4.9
364,49,PhD,Switching Career,Health & Fitness,Mental Health,Mindfulness Meditation,4.0
365,23,High School,Freelancing,Personal Development,Productivity,Focus and Discipline,3.4
366,36,Bachelors,Switching Career,Engineering,Robotics,Intro to Robotics,4.1
367,35,Masters,Job,Music,Music Theory,Music Theory Basics,5.0
368,24,Bachelors,Upskilling,Programming,Data Science,Data Analysis with Pandas,3.7
369,23,PhD,Job,Writing,Creative Writing,Short Story Writing,4.7
370,45,Bachelors,Freelancing,Writing,Creative Writing,Writing Fiction,4.1
371,35,Bachelors,Upskilling,Personal Development,Leadership,Emotional Intelligence,4.9
372,24,Bachelors,Switching Career,Programming,Machine Learning,Scikit-learn Basics,3.3
373,26,Bachelors,Freelancing,Language Learning,Spanish,Conversational Spanish,4.0
374,35,PhD,Switching Career,Music,Guitar,Guitar for Beginners,3.8
375,35,Masters,Switching Career,Music,Piano,Piano Lessons 101,4.7
376,23,PhD,Upskilling,Business,Management,Project Management,4.9
377,31,PhD,Upskilling,Language Learning,French,Basic French A1,4.1
378,26,PhD,Upskilling,Programming,Web Development,Complete Web Dev Bootcamp,4.3
379,47,High School,Job,Design,Graphic Design,Illustrator Course,3.0
380,45,Bachelors,Freelancing,Personal Development,Productivity,Focus and Discipline,3.2
381,41,Masters,Job,Language Learning,Spanish,Beginner Spanish,3.8
382,37,Bachelors,Switching Career,Business,Marketing,Digital Marketing 101,3.4
383,22,Bachelors,Freelancing,Photography,Lighting Techniques,Studio Setup,3.0
